Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
saf holland;2019;144;128;128;1;0;fehlt;2020-03-27;fehlt;77;2956;24993;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\SAF HOLLAND2019_SR.pdf
saf holland;2020;109;106;93;1;0;fehlt;2021-03-23;fehlt;66;3568;17409;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\SAF HOLLAND2020_SR.pdf
schaltbau holding;2019;67;51;30;1;0;fehlt;2020-03-30;fehlt;27;4900;8490;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\SCHALTBAU HOLDING2019_SR.pdf
schaltbau holding;2020;81;63;39;1;0;fehlt;2021-03-24;fehlt;34;5685;10798;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\SCHALTBAU HOLDING2020_SR.pdf
siemens energy;2020;300;259;170;1;0;DE0007236101;2020-12-04;fehlt;85;3440;30632;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\SIEMENS ENERGY2020_SR.pdf
sts group;2019;43;31;17;1;1;fehlt;2020-04-08;fehlt;17;350;4548;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\STS GROUP2019_NFB.pdf
sts group;2020;42;29;18;1;1;fehlt;2021-04-06;fehlt;17;350;4441;0;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\STS GROUP2020_NFB.pdf
teamviewer;2020;97;81;42;1;1;fehlt;2021-04-27;fehlt;28;1034;9963;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\TEAMVIEWER2020_NFB.pdf
tele columbus;2019;61;38;17;1;0;DE000A1J5RX9;2020-04-23;fehlt;27;1121;5427;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\TELE COLUMBUS2019_SR.pdf
tele columbus;2020;84;73;42;1;0;DE000A1J5RX9;2021-06-04;fehlt;31;1408;11070;1;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz_frede\1. SRs (deutsch) Joiners 2019-2020\TELE COLUMBUS2020_SR.pdf
