Company;Year;pos;neg;unc;SR;NFE;ISIN;Date_SRNFE;Date_AR;report_size_SRNFE;report_sentence_SRNFE;report_words_SRNFE;is_gri;report_size_AR;report_sentence_AR;report_words_AR;pfad
cewe;2012;150;89;48;1;0;DE0005403901;2013-11-19;2013-03-22;31;3252;14898;1;31;15081;63231;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2012_SR.pdf
cewe;2013;230;102;70;1;0;DE0005403901;2014-07-15;2014-03-25;63;3605;18289;1;63;17290;75380;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2013_SR.pdf
cewe;2014;211;145;82;1;0;DE0005403901;2015-05-27;2015-03-19;73;3919;21591;1;73;18754;76921;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2014_SR.pdf
cewe;2015;228;159;91;1;0;DE0005403901;2016-06-09;2016-03-22;71;4110;22098;1;71;19010;77487;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2015_SR.pdf
cewe;2016;232;151;76;1;0;DE0005403901;2017-05-18;2017-03-22;76;4145;21354;1;76;18262;75086;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2016_SR.pdf
cewe;2017;235;171;86;1;0;DE0005403901;2018-05-22;2018-03-21;40;4338;22231;1;40;16989;71760;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2017_SR.pdf
cewe;2018;226;130;78;1;0;DE0005403901;2019-03-27;2019-03-26;74;4669;22116;1;74;17503;73742;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Cewe2018_SR.pdf
deutsche wohnen;2012;84;112;47;1;0;DE0006455009;2013-10-16;2013-03-13;43;1762;13654;1;43;12431;87854;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2012_SR.pdf
deutsche wohnen;2013;90;126;75;1;0;DE0006455009;2014-10-06;2014-03-11;47;2042;16509;1;47;12877;90541;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2013_SR.pdf
deutsche wohnen;2014;138;155;73;1;0;DE0006455009;2015-09-08;2015-03-10;55;2434;21448;1;55;13083;90496;C:\Users\test\sciebo\FACC SHK-WHB Berichte\CDAX Rohdaten 2008-2018_Stand 23.03.2021\Deutsche Wohnen2014_SR.pdf
